#OTU ID,1-1,1-2,1-3,1-4,1-7,1-8,2-1,2-2,3-1,3-2,4-1,6-2,c-1,c-3
EU325941.1.1427,20,8,22,32,8,2,2,1,11,1,0,0,0,0
LN564828.1.1344,23,6,11,7,8,16,2,2,6,12,0,5,0,1
KF359705.1.1469,70,19,7,36,2,21,1,0,0,0,0,0,0,0
CP024785.81819.83307,180,42,12,197,6,2,0,5,33,3,0,0,0,0
AM849435.1.1478,14,0,1,0,0,0,0,0,1,0,0,0,0,0
FM874293.1.1429,356,1,2,2,5,8,6,0,186,8,134,105,1,1
KX431279.1.1440,1,0,0,0,1,0,1,1,2,3,0,0,0,0
FR682734.1.1467,71,2,2,1,6,4,2,1,9,1,0,3,0,0
HQ120741.1.1500,9,9,13,5,12,2,1,0,2,0,0,1,2,17
HM241055.1.1355,376,106,65,404,189,70,580,266,937,1474,4,206,1,94
AB696384.1.1351,120,41,227,294,328,112,11,27,15,15,7,4,0,14
HM366526.1.1474,7,0,2,0,0,1,0,0,1,1,2,0,0,0
KF037853.1.1479,5,0,3,4,2,11,19,15,17,19,6,15,6,7
GU444071.1.1469,8,8,3,9,4,3,5,1,1,8,0,0,32,43
AY493943.1.1451,25,32,5,9,76,4,0,0,4,6,0,0,0,0
MG279728.1.1453,221,1,4,5,84,4,0,0,0,1,0,0,0,0
AB637036.1.1467,625,117,178,75,132,47,206,82,162,100,6,32,5,13
EU978827.1.1485,2,3,8,2,2,9,1,0,1,1,1,1,0,0
KF037859.1.1460,16,10,24,60,16,13,39,22,28,65,166,13,0,2
JN637806.1.1427,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EU676430.1.1411,37,12,14,0,4,3,0,0,2,0,0,0,0,0
KJ615132.1.1250,2,0,0,1,0,1,0,1,1,0,0,1,0,0
AF058677.1.1871,167,52,825,965,1822,112,8,15,12,30,0,0,2,3
AB696090.1.1444,128,53,33,30,72,58,113,10,6,8,1,52,0,0
AB696365.1.1335,171,68,302,627,547,169,22,53,13,31,1,3,0,3
KF037266.1.1460,15,5,32,41,27,20,4,10,6,11,5,4,0,1
KY287268.1.1494,3,0,1,1,6,0,0,0,1,0,1,0,1,0
KF494785.1.1492,6,0,12,2,4,3,1,0,1,0,4,7,1,1
DQ532236.1.1432,2675,326,85,483,145,177,184,55,361,75,3,178,1,38
LN810649.1.1382,79,89,26,122,71,51,11,7,29,39,0,2,4,9
AB696118.1.1451,121,176,164,35,15,13,0,0,0,1,2,8,0,1
DQ378235.1.1487,74,21,115,9,19,17,13,5,45,7,8,129,1,0
KX935023.1.1339,1,0,0,1,1,0,1,0,0,2,0,1,0,0
DQ629550.1.1340,22,8,31,88,35,13,2,8,6,3,0,1,0,0
KJ191930.1.1461,127,50,289,469,703,77,8,26,8,10,3,0,0,1
KC011140.1.1489,212,60,93,96,20,68,8,6,38,11,16,30,3,4
DQ248302.1.1451,45,22,46,9,32,26,13,9,15,24,2,11,1,1
JF417866.1.1468,481,127,317,80,384,1083,325,234,411,299,570,13,11,4
KC554389.1.1543,1,2,0,0,0,2,0,0,0,1,1,0,5,11
KF037941.1.1521,1,0,1,0,0,1,0,0,0,3,0,0,11,8
KF037402.1.1464,1390,676,4851,5947,11105,1043,80,299,111,130,11,1,8,29
AB552893.1.1393,1,0,0,0,0,0,0,0,1,0,0,0,0,0
EU135130.1.1323,2,0,3,1,2,5,2,2,1,6,5,1,12,5
JQ183098.1.1514,1,0,1,2,1,0,0,0,0,1,1,0,1,0
AM085481.1.1470,5,2,0,0,3,4,1,1,0,3,1,2,0,0
JQ769795.1.1479,42,19,5,32,11,5,5,1,9,0,0,12,0,3
DQ906835.1.1414,134,19,9,97,32,53,43,4,218,3,0,2,2,0
KF037838.1.1441,10,2,0,1,2,2,0,1,1,1,0,0,0,0
KX508703.1.1428,1031,142,34,170,57,66,31,12,134,18,7,42,2,9
FR682735.1.1467,467,75,9,33,30,26,41,7,240,13,2,136,0,0
AB696139.1.1444,1186,5,21,11,5,21,0,2,1,0,0,0,0,1
JX222315.1.1252,21,35,16,3,8,3,2,0,0,1,2,2,0,0
AJ440719.1.1458,3,2,3,11,14,6,1,3,4,7,3,6,0,0
EU979098.1.1479,8,12,25,15,10,35,32,47,67,134,55,23,27,66
KC554403.1.1512,25,60,90,53,69,86,12,6,43,47,22,8,3,11
JQ978949.1.1429,49,14,6,14,11,12,5,2,13,3,2,4,0,0
AB681461.1.1438,669,179,34,149,80,82,44,18,100,16,17,22,2,0
EU133744.1.1385,3,2,3,4,6,2,0,0,1,0,0,1,6,2
EU133180.1.1335,5,3,7,7,3,25,13,37,25,38,14,14,59,24
EU341288.1.1465,347,8,14,9,12,41,4,2,179,5,6,12,0,0
AF408272.1.1462,694,206,23,236,89,99,86,25,98,48,26,483,0,0
HQ327284.1.1467,85,162,47,39,77,61,2,1,8,4,0,0,3,7
HQ425318.1.1405,4,0,0,0,0,0,0,0,0,0,0,0,0,0
HM438351.1.1442,5,0,2,1,1,1,0,3,2,1,0,2,4,0
AB084247.1.1449,1,0,0,0,0,0,0,1,6,0,0,0,0,0
KY386444.1.1501,4,1,0,3,2,0,0,0,0,0,0,2,0,0
LN555020.1.1357,1,1,0,0,0,0,0,1,0,0,0,0,0,1
GU062468.1.1467,37,2,0,7,0,1,1,0,0,0,0,0,0,0
FJ790573.1.1339,1371,3,17,1,9,19,11,7,143,8,439,39,0,0
KF037545.1.1475,82,0,0,0,4,2,0,0,70,2,493,11,0,0
JF139697.1.1284,14,2,1,4,0,4,0,0,6,0,4,1,0,0
FPLS01017900.12.1472,12,4,1,1,1,1,0,1,0,1,0,0,0,0
JROR01000015.13524.14992,161,246,57,101,147,129,73,11,55,92,0,14,0,16
KX139010.1.1507,45,3,0,7,3,4,5,1,5,1,0,1,0,0
EU801028.1.1495,1,0,0,0,1,1,0,0,0,0,0,0,0,0
JN408899.1.1409,600,16,28,3,9,31,39,23,56,147,1,21,2,19
MKYQ01001224.7658.9109,30,13,30,41,47,20,2,7,3,18,19,6,0,2
KF037539.1.1498,3,0,4,3,1,3,0,0,1,4,4,1,0,1
JF449949.1.1491,11,5,17,9,8,5,15,13,26,17,935,9,1,14
JF178557.1.1306,2,2,0,0,1,1,0,0,0,8,0,0,0,0
GCZP01012225.1.1469,9,1,28,12,12,6,0,2,0,0,0,0,0,0
KF037764.1.1432,17,1,1,0,3,5,1,0,4,1,1,3,0,0
KF037365.1.1464,684,13,16,24,17,72,4,2,277,11,13,30,1,0
AB696356.1.1364,12,7,5,4,4,4,1,1,7,1,1,3,27,14
AB696351.1.1385,192,43,32,208,120,56,104,96,292,149,23,43,0,5
JQ608332.1.1449,4,3,0,2,3,4,1,0,3,0,2,5,0,0
FJ595621.1.1315,16,6,4,11,9,3,5,5,16,21,22,0,0,12
JQ924014.1.1448,4,2,5,7,3,7,6,5,9,7,1,4,0,4
AB636940.1.1445,12,4,1,1,3,7,0,0,1,0,0,0,2,1
AB630768.1.1479,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EF647593.1.1422,5,3,2,2,1,3,0,0,10,0,1,0,1,0
JQ608322.1.1478,20,10,2,5,2,7,0,1,10,0,69,0,0,0
JN037900.1.1502,9,2,3,2,1,0,0,0,2,0,1,0,0,0
KC442613.1.1432,34,1,0,0,4,0,0,0,1,2,0,0,0,0
DQ297969.1.1499,4,0,1,0,0,0,0,0,0,0,0,0,0,0
HM366471.1.1489,265,148,532,281,85,343,5,1,5,24,0,13,2,4
FNIQ01000011.3925.5448,5,10,1,7,5,4,0,0,0,2,0,3,2,0
KJ540677.1.1462,4,0,1,2,1,0,1,1,1,0,0,0,7,67
JQ349043.1.1409,14,0,0,6,2,5,3,2,9,6,1,1,2,0
HQ327267.1.1457,129,9,1,61,2,1,0,0,0,1,0,0,0,0
AB637026.1.1478,191,26,35,31,48,64,81,3,50,5,13,38,0,0
AF106537.1.1751,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FPLS01011548.3.1403,1,0,1,1,0,1,0,1,0,1,0,0,0,0
FPID01000337.6.1476,2,0,1,0,0,1,0,0,0,0,0,1,0,2
JQ769734.1.1463,69,32,0,14,13,11,0,0,166,0,0,0,0,0
MG641906.1.1489,63,51,37,143,7,10,5,3,1,5,0,0,0,10
JX079140.1.1506,3,0,2,5,8,5,0,0,0,1,1,0,0,0
KF964627.1.1432,285,39,11,27,18,15,17,8,75,7,1,11,1,0
AY695724.1.1400,2,0,2,1,1,6,1,1,0,0,0,0,0,0
JQ711705.1.1512,25,4,20,13,5,17,2,1,11,4,15,2,3,0
GU109478.1.1466,165,91,15,67,22,23,1,1,180,3,1,3,0,0
EF423343.1.1433,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KC568445.1.1350,1,0,2,2,0,3,1,0,1,0,0,1,0,0
LC221816.1.1465,28,0,0,0,26,1,0,0,31,0,0,0,0,0
JQ407966.1.1310,63,2,8,17,10,4,13,6,60,22,2,1,7,5
CP025135.1052893.1054418,4,2,0,1,1,0,0,0,0,0,2,0,0,0
FM209353.1.1490,9,8,1,1,1,5,0,1,1,0,1,0,0,0
FJ891023.1.1391,184,81,49,224,77,52,393,153,644,1090,11,80,0,14
GQ487921.1.1489,1,0,0,0,0,0,0,0,0,0,0,0,3,36
JF115297.1.1335,178,19,9,20,24,17,16,8,24,3,21,5,0,0
FPLS01020539.1.1309,3,1,2,0,0,1,0,0,2,0,3,5,0,0
EU540200.1.1353,8,5,5,0,2,6,0,0,6,2,7,1,0,0
JQ426894.1.1439,2,0,0,1,0,0,0,0,1,1,1,0,1,6
KF037510.1.1496,143,73,364,80,23,68,1,2,9,4,337,206,2,1
MG641900.1.1480,440,150,29,509,77,5,1,22,51,5,0,0,2,0
HG764500.1.1483,31,23,14,6,11,4,5,3,23,2,6,4,0,0
GBEG01042065.31.1475,41,23,29,44,37,19,0,10,8,11,4,6,0,0
GEFY01040725.1.1358,27,6,34,53,24,23,5,15,6,16,4,5,0,1
EF019216.1.1386,10,20,4,9,5,33,2,0,11,4,0,0,3,1
HM366487.1.1494,97,48,19,5,29,50,3,9,11,64,0,0,0,0
JF171460.1.1341,41,24,39,6,15,37,85,59,129,124,19,9,1,7
FM209314.1.1485,15,12,7,12,19,16,2,4,14,1,10,3,2,1
KC577547.1.1454,188,12,7,17,14,1,0,0,6,0,0,0,0,1
HQ189081.1.1330,55,3,12,398,2,0,51,6,43,6,0,0,0,0
FJ595630.1.1311,5,3,2,8,1,0,0,1,3,2,66,4,0,3
KX753146.1.1456,16,9,46,23,21,37,39,74,78,124,7,6,113,110
MG279727.1.1446,47,11,2,2,13,0,1,0,1,1,0,2,0,1
AF507705.1.1443,49,41,104,35,37,90,65,132,257,168,3,6,122,454
LC026820.1.1451,151,504,845,173,132,102,99,36,43,382,10,66,3,10
KX601080.1.1390,36,1,9,8,3,4,5,2,87,1,0,3,0,2
KF975563.1.1515,137,69,21,76,30,51,24,4,88,7,8,22,0,0
FN811236.1.1464,10,50,198,16,35,1,159,26,65,105,2,0,0,7
JQ855557.1.1220,67,9,8,7,11,26,20,5,31,16,32,51,1,1
JQ769935.1.1496,192,169,92,52,76,106,2,1,34,12,0,5,7,53
KC554965.1.1511,1,0,0,0,0,0,0,1,0,0,0,0,5,13
DQ234217.1.1519,2,1,0,2,1,0,0,1,2,0,0,0,0,0
JQ770090.1.1450,54,27,22,19,17,20,8,6,25,20,0,4,5,7
EU929008.1.1484,1,2,1,1,2,3,1,2,0,1,0,0,1,1
AP018268.9447171.9448654,56,42,27,432,146,160,122,46,348,69,0,0,0,5
KF494573.1.1499,166,51,71,8,24,36,9,0,44,5,0,1,0,1
KF712805.1.1482,3,2,2,1,3,5,2,3,6,2,5,2,3,8
FM211707.1.1477,14,29,7,6,5,12,1,0,3,6,1,0,0,0
JQ825174.1.1458,32,39,24,49,21,18,2,3,21,1,0,1,1,1
KF037321.1.1459,5,2,3,82,135,17,271,109,151,43,0,0,1,5
JF417853.1.1452,16,44,20,48,25,29,32,59,16,69,4,30,2,10
HQ910257.1.1485,20,4,1,5,3,2,4,5,4,7,7,0,0,0
EU382214.1.1435,123,80,21,32,197,49,12,2,14,9,2,83,0,2
FJ612283.1.1391,4,5,17,14,0,1,11,15,19,15,21,0,0,3
KU515026.1.1494,27,1,0,1,2,1,0,0,0,2,0,1,0,0
AJ581614.1.1440,2,0,0,0,0,4,0,0,0,0,0,1,1,0
HQ119897.1.1476,7,4,3,1,2,3,1,2,1,2,1,1,1,0
AB637347.1.1465,41,0,0,0,1,0,10,0,16,8,0,0,0,0
EF368368.1.1421,11,4,6,0,13,9,2,0,1,0,0,8,0,0
HM332109.1.1382,23,12,26,1,7,5,0,1,4,0,0,0,1,0
GQ264237.1.1474,1,0,17,3,4,4,0,0,2,3,7,2,9,0
