OTU	Domain	Phylum	Class	Order	Family	Genus	Species	X1.1	X1.2	X1.3	X1.4	X1.7	X1.8	X2.1	X2.2	X3.1	X3.2	X4.1	X6.2	c.1	c.3
KF322151.1.1342	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Falsarthrobacter	s__Arthrobacter_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
KY861743.1.1370	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Mesorhizobium	s__Nitratireductor_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
LT828648.2388005.2389533	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_japonica	0	0	0	0	0	0	0	0	0	0	0	0	0.0019485580670304	0
KM251000.1.1438	d__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Oxobacteraceae	g__Oxobacter	s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
MHXZ01000012.2641.4195	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__MSBL9	f__GWC2-45-44	g__GWC2-45-44	s__Planctomycetes_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
MH635328.1.1526	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_deccanensis	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
JF706690.1.1492	d__Bacteria	p__Chloroflexi	c__JG30-KF-CM66	o__JG30-KF-CM66	f__JG30-KF-CM66	g__JG30-KF-CM66	s__uncultured_Chloroflexi	0.000800935492655422	0	0.000846159704182567	0.000819181964889861	0	0.00108235650658614	0	0.00199796207867975	0.00202535747559444	0.00194184183698238	0	0	0.014614185502728	0.0210473799909574
AM934753.1.1393	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Opitutus	s__uncultured_Opitutaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
HM748667.1.1405	d__Bacteria	p__Chloroflexi	c__TK10	o__TK10	f__TK10	g__TK10	s__bacterium_Ellin6519	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
FPLS01012823.9.1525	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__MND1	s__metagenome	0	0	0	0	0	0	0	0	0	0	0	0	0.00681995323460639	0.00233859777677305
